q = 0.8999999999999995 ap
M(deg) w(deg) i(deg) de di(deg) da(ap)
-240.30806991401786 17.142857142857142 159.30645876881403 0.23420204381204054 38.920663800157044 1.147304070343138
-226.93976979085602 17.142857142857142 150.571292823133 0.31554391368564066 44.79557637806028 1.31334603052257
-221.4421718156697 17.142857142857142 143.75067911710062 0.4062082012589336 46.58182624971336 1.3678852522459037
-219.52726031629655 17.142857142857142 137.89655112925416 0.4471156263337693 43.24700149916216 1.3401780898663915
-219.5669843810078 17.142857142857142 132.64230997993997 0.4988989087748753 36.11106613807005 1.3306063054260215
-220.78719170046168 17.142857142857142 127.79972243542723 0.5507152282883766 27.02891101610056 1.3873752504429948
-222.76128637889394 17.142857142857142 123.25643128596953 0.5816690356178228 18.323352369232552 1.5320644405620725
-225.22830469874333 17.142857142857142 118.93852774018065 0.587710225373818 13.868847965023102 1.7969325795408122
-228.01595858184103 17.142857142857142 114.79386246305661 0.5788162988412237 16.04935011739083 2.2566470323527135
-231.00353095466428 17.142857142857142 110.78355959584569 0.575772217541659 20.875058744696585 3.102829406086897
125.89818672913876 17.142857142857142 106.87726943862923 0.6103850479438518 25.41073131463616 4.961155318120912
122.75909474189 17.142857142857142 103.05030493967992 0.7312790337544334 29.03686875189896 11.59085727431015
119.63885471186198 17.142857142857142 99.28179908667754 1.071607388514267 31.619613809741832 -61.20722644431357
116.5999536221173 17.142857142857142 95.5534441956585 1.5491151688266105 33.18168425829071 -9.162311724897185
113.78940324324911 17.142857142857142 91.84857164522856 2.0514364684658055 34.02011791772569 -5.148204283678115
111.19433824115916 17.142857142857142 88.15142835477144 2.5421012837402217 34.32648214782755 -3.677299986661831
108.7962395074261 17.142857142857142 84.44655580434151 3.0071464111619703 34.222132641284794 -2.9198238754866597
106.59722444444984 17.142857142857142 80.71820091332248 3.441070352028232 33.78755136217749 -2.4613666072072156
104.5976323385136 17.142857142857142 76.94969506032008 3.8425665683967654 33.07785692007409 -2.1559379478693788
102.79489626519386 17.142857142857142 73.12273056137077 4.212777779518473 32.13132474453261 -1.9388402394778668
101.18350416280357 17.142857142857142 69.21644040415431 4.5544420542414095 30.974235924842834 -1.776911482043066
99.75516136841473 17.142857142857142 65.20613753694339 4.871467188083144 29.623597656185837 -1.6512936392339734
98.49899504896447 17.142857142857142 61.06147225981936 5.168767467146556 28.088439275994673 -1.5503464665465556
97.40178034425197 17.142857142857142 56.74356871403049 5.452297283724666 26.369912694972314 -1.466350166638392
96.4482175772354 17.142857142857142 52.20027756457278 5.729264602334647 24.460025605793412 -1.393816944731177
95.62132691697354 17.142857142857142 47.35769002006005 6.008543081540151 22.33824876303337 -1.3285562173652459
94.90307474819794 17.142857142857142 42.10344887074584 6.3013402397840075 19.963916181307297 -1.2671239620725903
94.27542168482374 17.142857142857142 36.24932088289939 6.6222325049090145 17.258410409010267 -1.206487736619323
93.72210911533278 17.142857142857142 29.42870717686701 6.990763047076033 14.055812173774155 -1.1438331095192933
93.23171943586262 17.142857142857142 20.693541231185957 7.433944502968504 9.908786192121086 -1.076488578715796
-242.00196787839167 34.285714285714285 159.30645876881403 0.20889577300745776 30.306186509962867 1.0416897656475408
-234.48739691254318 34.285714285714285 150.571292823133 0.21432923016408562 37.12244783858535 1.12964780714128
-230.6535122306038 34.285714285714285 143.75067911710062 0.29640597802581337 40.27707483579554 1.1767658726134314
-228.8504065348061 34.285714285714285 137.89655112925416 0.3517612818129757 40.25873328825441 1.1859658439062475
-228.30378078680278 34.285714285714285 132.64230997993997 0.3988202734032992 37.49743431304351 1.1873550991316455
-228.58786295379642 34.285714285714285 127.79972243542723 0.4429497630892479 32.78958393049441 1.2071818780103758
-229.44007941411974 34.285714285714285 123.25643128596953 0.47677062884297855 27.09337565592642 1.260093363138607
-230.68412509394437 34.285714285714285 118.93852774018065 0.49392027776266756 21.530291313436575 1.355676244456648
-232.19414315633028 34.285714285714285 114.79386246305661 0.4937245581213493 17.373679572489984 1.5054516535618514
-233.87625665877232 34.285714285714285 110.78355959584569 0.4810492958414167 15.636875045903304 1.7287669442513849
-235.65802499541277 34.285714285714285 106.87726943862923 0.46551100180074 16.186450623296814 2.0611896478861738
